City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Kahului,US,2021-09-17 14:56:54,20.8947,-156.47,74.97,88,100,13.73,light rain
202,Narsaq,GL,2021-09-17 14:55:37,60.9167,-46.05,42.94,72,19,3.18,few clouds
203,Pandamatenga,BW,2021-09-17 14:58:48,-18.5278,25.627,95.54,11,39,4.05,scattered clouds
204,Sopot,PL,2021-09-17 14:58:48,54.4418,18.56,63.88,100,75,3.44,light intensity shower rain
205,Nuuk,GL,2021-09-17 14:54:03,64.1835,-51.7216,38.5,45,5,3.49,clear sky
206,Chake Chake,TZ,2021-09-17 14:56:51,-5.2459,39.7666,77.32,71,16,10.87,few clouds
207,Vostok,RU,2021-09-17 14:55:39,46.4856,135.8833,46.42,92,0,4.72,clear sky
208,Adrar,MR,2021-09-17 14:58:49,20.5022,-10.0711,96.93,28,100,12.1,overcast clouds
209,Rocha,UY,2021-09-17 14:55:20,-34.4833,-54.3333,65.35,52,0,10.18,clear sky
210,Hithadhoo,MV,2021-09-17 14:56:04,-0.6,73.0833,83.05,73,100,4.99,overcast clouds
211,Havoysund,NO,2021-09-17 14:56:09,70.9963,24.6622,49.08,75,100,8.28,overcast clouds
212,Yeppoon,AU,2021-09-17 14:57:42,-23.1333,150.7333,60.58,72,0,8.86,clear sky
213,Tura,IN,2021-09-17 14:57:44,25.5198,90.2201,72.86,91,100,4.07,overcast clouds
214,Khem Karan,IN,2021-09-17 14:58:50,31.1428,74.5667,84.29,57,1,6.98,clear sky
215,Vredendal,ZA,2021-09-17 14:58:51,-31.6683,18.5012,78.19,17,5,19.6,clear sky
216,Bukachacha,RU,2021-09-17 14:58:51,52.9833,116.9167,35.1,72,0,3.36,clear sky
217,Nikolayevskaya,RU,2021-09-17 14:58:51,47.6139,41.5023,70.12,31,8,9.01,clear sky
218,Acapulco,MX,2021-09-17 14:58:52,16.8634,-99.8901,80.55,79,100,2.73,overcast clouds
219,Veraval,IN,2021-09-17 14:58:52,20.9,70.3667,80.56,86,96,10.47,overcast clouds
220,Inhambane,MZ,2021-09-17 14:54:34,-23.865,35.3833,67.98,94,75,11.5,broken clouds
221,Cairns,AU,2021-09-17 14:55:47,-16.9167,145.7667,71.55,76,90,9.22,overcast clouds
222,Malakal,SS,2021-09-17 14:58:52,9.5334,31.6605,72.3,97,100,4.56,moderate rain
223,Harper,LR,2021-09-17 14:56:24,4.375,-7.7169,79.57,81,84,10.07,light rain
224,Bonavista,CA,2021-09-17 14:56:57,48.6499,-53.1147,68.0,67,7,6.96,clear sky
225,Ouallam,NE,2021-09-17 14:55:26,14.3188,2.0866,95.23,39,94,9.15,overcast clouds
226,Haines Junction,CA,2021-09-17 14:56:25,60.7522,-137.5108,24.75,100,100,2.3,overcast clouds
227,Kemi,FI,2021-09-17 14:58:53,65.8596,24.8228,44.37,61,75,4.61,broken clouds
228,Rundu,NA,2021-09-17 14:58:53,-17.9333,19.7667,93.94,7,5,4.23,clear sky
229,Mayo,US,2021-09-17 14:58:54,38.8876,-76.5119,75.97,93,90,5.01,overcast clouds
230,Ketchikan,US,2021-09-17 14:55:49,55.3422,-131.6461,46.87,93,90,0.0,light rain
231,Hobyo,SO,2021-09-17 14:54:29,5.3505,48.5268,78.3,82,70,27.0,broken clouds
232,Sabratah,LY,2021-09-17 14:58:54,32.7933,12.4885,92.19,30,0,13.78,clear sky
233,Boa Vista,BR,2021-09-17 14:55:09,2.8197,-60.6733,87.78,55,40,12.66,scattered clouds
234,Douentza,ML,2021-09-17 14:58:55,14.9951,-2.9517,97.84,33,96,8.81,overcast clouds
235,Sur,OM,2021-09-17 14:56:47,22.5667,59.5289,88.0,61,24,9.22,few clouds
236,Berdigestyakh,RU,2021-09-17 14:58:55,62.0989,126.6992,37.35,97,100,15.3,light rain
237,Vila,PT,2021-09-17 14:58:55,42.0304,-8.1588,57.7,93,100,4.99,overcast clouds
